Date;Hour;Forecasted Day-ahead Total Load;Actual Total Load
20180101;1;15200;14978,538
20180101;2;14600;14397,650
20180101;3;14000;13789,463
20180101;4;13600;13434,450
20180101;5;13400;13285,238
20180101;6;13200;13193,038
20180101;7;13300;13236,713
20180101;8;13300;13214,075
20180101;9;13500;13025,188
20180101;10;14000;13705,938
20180101;11;14600;14329,763
20180101;12;15200;14824,300
20180101;13;15500;15318,663
20180101;14;15900;15833,963
20180101;15;15900;15944,888
20180101;16;16800;16059,463
20180101;17;17900;17307,425
20180101;18;18000;17699,175
20180101;19;18100;17697,000
20180101;20;18100;17836,438
20180101;21;17900;17463,875
20180101;22;17100;16550,713
20180101;23;16200;15860,363
20180101;24;15100;14855,538
20180102;1;13700;14040,125
20180102;2;13300;13541,438
20180102;3;13050;13407,438
20180102;4;13200;13467,875
20180102;5;14000;13797,400
20180102;6;15800;14759,825
20180102;7;19100;17559,463
20180102;8;20500;19505,063
20180102;9;21800;20485,150
20180102;10;22100;21277,400
20180102;11;22400;21514,525
20180102;12;22600;21657,838
20180102;13;22900;21773,513
20180102;14;23000;22255,600
20180102;15;22600;22072,875
20180102;16;23000;22230,238
20180102;17;23900;23158,013
20180102;18;23700;23081,975
20180102;19;23400;22746,813
20180102;20;23300;22642,150
20180102;21;22600;21971,863
20180102;22;21300;20680,563
20180102;23;19500;19244,338
20180102;24;18100;17861,925
20180103;1;17500;16709,975
20180103;2;17000;16198,100
20180103;3;16800;15877,688
20180103;4;16900;15839,863
20180103;5;17300;16160,975
20180103;6;18600;16890,238
20180103;7;21800;19563,788
20180103;8;22600;21727,250
20180103;9;23500;22419,488
20180103;10;23600;22748,600
20180103;11;23900;22748,450
20180103;12;24000;23177,688
20180103;13;24000;23317,375
20180103;14;24300;23538,413
20180103;15;23800;23316,525
20180103;16;24100;23472,850
20180103;17;25000;24281,738
20180103;18;24700;24188,413
20180103;19;24400;23921,713
20180103;20;24400;23829,075
20180103;21;23600;23012,050
20180103;22;22200;21402,900
20180103;23;20600;19850,738
20180103;24;19200;18520,000
20180104;1;17300;17370,738
20180104;2;16600;16812,688
20180104;3;16300;16475,450
20180104;4;16400;16547,513
20180104;5;17000;16739,450
20180104;6;18200;17454,738
20180104;7;21600;19950,763
20180104;8;22600;21894,025
20180104;9;23500;22638,150
20180104;10;23700;22886,200
20180104;11;23800;22892,538
20180104;12;23850;23074,625
20180104;13;24000;23171,113
20180104;14;24200;23422,563
20180104;15;23700;23131,850
20180104;16;24400;23158,313
20180104;17;24900;24183,475
20180104;18;24600;24057,100
20180104;19;24300;23745,325
20180104;20;24100;23656,463
20180104;21;23400;23029,975
20180104;22;22000;21602,038
20180104;23;20200;20028,688
20180104;24;18600;18718,313
20180105;1;17200;17467,638
20180105;2;16500;16854,713
20180105;3;16300;16593,988
20180105;4;16400;16717,863
20180105;5;16900;16845,488
20180105;6;18300;17663,275
20180105;7;21600;20092,550
20180105;8;22500;21964,625
20180105;9;23400;22564,363
20180105;10;23500;22859,713
20180105;11;23800;22807,275
20180105;12;23900;23013,925
20180105;13;24000;23075,413
20180105;14;24300;23360,425
20180105;15;23900;23088,113
20180105;16;24200;23188,263
20180105;17;24900;24071,775
20180105;18;24700;24061,613
20180105;19;24400;23709,513
20180105;20;24200;23504,000
20180105;21;23500;22733,150
20180105;22;22000;21331,250
20180105;23;20400;19870,313
20180105;24;19000;18515,600
20180106;1;17700;17260,738
20180106;2;16900;16546,463
20180106;3;16500;15996,725
20180106;4;16300;15879,363
20180106;5;16300;15773,525
20180106;6;16200;15546,650
20180106;7;16400;15620,163
20180106;8;16400;15802,625
20180106;9;17300;16351,438
20180106;10;18200;17285,125
20180106;11;18800;17954,888
20180106;12;18900;18332,750
20180106;13;19200;18548,075
20180106;14;19400;18596,838
20180106;15;19100;18255,500
20180106;16;19400;18225,375
20180106;17;20600;19327,388
20180106;18;20700;19450,838
20180106;19;20700;19213,388
20180106;20;20700;19134,150
20180106;21;20200;18817,675
20180106;22;19500;18092,138
20180106;23;18700;17389,525
20180106;24;17300;16357,625
20180107;1;16100;15330,000
20180107;2;15400;14662,438
20180107;3;15100;14367,650
20180107;4;14900;14295,763
20180107;5;15000;14252,750
20180107;6;15200;14437,188
20180107;7;15700;15029,363
20180107;8;15900;15406,488
20180107;9;16900;15792,563
20180107;10;18000;16873,075
20180107;11;18400;17689,388
20180107;12;18600;18014,913
20180107;13;18800;18448,475
20180107;14;18900;18755,250
20180107;15;18700;18660,725
20180107;16;18900;18634,550
20180107;17;20300;19686,500
20180107;18;20500;20048,513
20180107;19;20600;20171,763
20180107;20;20700;20386,263
20180107;21;20000;19826,538
20180107;22;19100;18736,575
20180107;23;18200;17886,925
20180107;24;17100;16836,213
20180108;1;15950;15993,188
20180108;2;15450;15633,588
20180108;3;15350;15462,538
